S No,Website,Active Voice ,Passive Voice,
1,http://examples.yourdictionary.com/examples-of-active-and-passive-voice.html,Harry ate six shrimp at dinner.,"At dinner, six shrimp were eaten by Harry.",
2,,Beautiful giraffes roam the savannah.,The savannah is roamed by beautiful giraffes.,
3,,Sue changed the flat tire.,The flat tire was changed by Sue. ,
4,,We are going to watch a movie tonight.,A movie is going to be watched by us tonight.,
5,,I ran the obstacle course in record time.,The obstacle course was run by me in record time.,
6,,The crew paved the entire stretch of highway.,The entire stretch of highway was paved by the crew.,
7,,Mom read the novel in one day. ,The novel was read by Mom in one day.,
8,,The critic wrote a scathing review.,A scathing review was written by the critic. ,
9,,I will clean the house every Saturday. ,The house will be cleaned by me every Saturday. ,
10,,The staff is required to watch a safety video every year.,A safety video will be watched by the staff every year.,
11,,She faxed her application for a new job.,The application for a new job was faxed by her. ,
12,,Tom painted the entire house. ,The entire house was painted by Tom. ,
13,,The teacher always answers the students’ questions.,The students’ questions are always answered by the teacher. ,
14,,The choir really enjoys that piece.,That piece is really enjoyed by the choir. ,
15,,Who taught you to ski?,By whom were you taught to ski?,
16,,The forest fire destroyed the whole suburb.,The whole suburb was destroyed by the forest fire. ,
17,,The two kings are signing the treaty.,The treaty is being signed by the two kings. ,
18,,The cleaning crew vacuums and dusts the office every night.,Every night the office is vacuumed and dusted by the cleaning crew.,
19,,Larry generously donated money to the homeless shelter.,Money was generously donated to the homeless shelter by Larry. ,
20,,No one responded to my sales ad. ,My sales ad was not responded to by anyone.,
21,,The wedding planner is making all the reservations. ,All the reservations will be made by the wedding planner. ,
22,,Susan will bake two dozen cupcakes for the bake sale. ,"For the bake sale, two dozen cookies will be baked by Susan. ",
23,,The science class viewed the comet.,The comet was viewed by the science class. ,
24,,Who ate the last cookie?,The last cookie was eaten by whom?,
25,,Alex posted the video on Facebook. ,The video was posted on Facebook by Alex.,
26,,The director will give you instructions. ,Instructions will be given to you by the director.,
27,,Thousands of tourists view the Grand Canyon every year.,The Grand Canyon is viewed by thousands of tourists every year. ,
28,,The homeowners remodeled the house to help it sell.,The house was remodeled by the homeowners to help it sell.,
29,,The team will celebrate their victory tomorrow. ,The victory will be celebrated by the team tomorrow. ,
30,,The saltwater eventually corroded the metal beams. ,The metal beams were eventually corroded by the saltwater.,
31,,The kangaroo carried her baby in her pouch. ,The baby was carried by the kangaroo in her pouch. ,
32,,Some people raise sugar cane in Hawaii.,Sugar cane is raised by some people in Hawaii. ,
33,https://learnenglish.britishcouncil.org/en/english-grammar/active-and-passive-voice,The hunter killed the lion.,The lion was killed by the hunter.,
34,,They called off the meeting.,The meeting was called off.,
35,,His grandmother looked after him. ,He was looked after by his grandmother.,
36,,They will send him away to school.,He will be sent away to school.,
37,http://englishsentences.com/active-passive-voice/,The fox ate pancakes.,Pancakes were eaten by the fox.,
38,,He is eating dinner.,Dinner is being eaten by him.,
39,,Today the fox took a test.,Today a test was taken by the fox.,
40,,Many foxes can speak Spanish.,Spanish is spoken by many foxes.,
41,,I made the cookies.,The cookies were made by me.,
42,,Very few people own pet foxes,Pet foxes are owned by very few people.,
43,,You can cook popcorn on the stove.,Popcorn can be cooked on the stove.,
44,https://www.englishpractice.com/improve/active-passive-voice-simple-tense/,He wrote a letter.,A letter was written by him.,
45,,They knew it.,It was known to them.,
46,,She sang a song.,A song was sung by her.,
47,,He loved his friends very much.,His friends were loved very much by him.,
48,,She did not know anything about it.,Nothing about it was known to her.,
49,,Nobody could discourage him from pursuing his path.,He could not be discouraged from pursuing his path by anybody.,
50,,You did not listen to me.,I was not listened to by you.,
51,,She did not write a story.,A story was not written by her.,
52,,Did he break the window?,Was the window broken by him?,
53,,Where could you find such fine art?,Where could such fine art be found?,
54,,Why did you abuse your servant?,Why was your servant abused by you?,
55,,Did anyone steal your purse?,Was your purse stolen by anyone?,
56,,Did anyone hurt your feelings?,Were your feelings hurt by anyone?,
57,,Did Alice invite you?,Were you invited by Alice?,
58,,Who killed the snake?,By whom was the snake killed?,
59,,Why did he punish you?,Why were you punished by him?,
60,,Whom did you laugh at?,Who was laughed at by you?,
61,,Your conduct surprises me.,I am surprised at your conduct.,
62,,You annoy me.,I am annoyed with you.,
63,,I know him.,He is known to me.,
64,,The police have arrested the thief.,The thief has been arrested by the police.,
65,,We have finished our work.,Our work has been finished by us.,
66,,You should help the poor.,The poor should be helped by you.,
67,,We could not find any survivors.,No survivors could be found.,
68,,We should not look down upon the poor.,The poor should not be looked down upon by us.,
69,,Please help me.,You are requested to help me.,
70,,You may go now.,You are allowed to go now.,
71,,Word hard.,You are advised to work hard.,
72,,Sit quietly.,You are ordered to sit quietly.,
73,,They say that God lives in every heart.,It is said that God lives in every heart.,
74,,The children laughed at the beggar.,The beggar was laughed at by the children.,
75,,They elected him chairman.,He was elected chairman.,
76,,One should keep one’s promises.,Promises should be kept.,
77,,When will you return the book?,When will the book be returned (by you)?,
78,,Somebody has picked my pocket.,My pocket has been picked (by somebody).,
79,,Circumstances obliged me to agree.,I was obliged to agree.,
80,,I saw him stealing the watch.,He was seen stealing the watch.,
81,,We must listen to his words.,His words must be listened to.,
82,,Who broke this window?,By whom was this window broken?,
83,,One cannot gather grapes from thistles.,Grapes cannot be gathered from thistles.,
84,,People regarded him as an impostor.,He was regarded as an impostor.,
85,,Do not insult the weak and the oppressed.,Let the weak and the oppressed not be insulted.,
86,,They refused him admittance.,He was refused admittance.,
87,,The doctor despaired of his recovery.,His recovery was despaired of by the doctor.,
88,,The manager will issue you a ticket.,A ticket will be issued to you by the manager.,
89,,He handed her a parcel.,A parcel was handed to her. OR She was handed a parcel.,
90,,They asked me my name.,My name was asked by them.,
91,,We will execute all orders promptly.,All orders will be promptly executed.,
92,,People all over the world speak English.,English is spoken by people all over the world.,
93,,They saw the storm approaching.,The storm was seen approaching.,
94,,The teacher punished the students who had not done their homework.,The students who had not done their homework were punished by the teacher.,
95,,People consider him to be a genius., He is considered to be a genius.,
96,,You need to clean those carpets properly.,Those carpets need to be cleaned properly.,
97,,The supervisor was reading out the instructions.,The instructions were being read out by the supervisor.,
98,,The cat has drunk all the milk.,All the milk has been drunk by the cat.,
99,,They are targeting him.,He is being targeted by them.,
100,,They are considering you for the job.,You are being considered for the job.,
101,,Mother is cooking dinner.,Dinner is being cooked by mother.,
102,,The police are questioning the accused.,The accused are being questioned by the police.,
103,,They sent me to Jaipur.,I was sent to Jaipur.,
104,,The committee rewarded the boy.,The boy was rewarded by the committee.,
105,,They treated him badly.,He was badly treated by them.,
106,,I have completed my work.,My work has been completed by me.,
107,,You have created a problem.,A problem has been created by you.,
108,,He has turned down my offer.,My offer has been turned down by him.,
109,,They have violated the agreement.,The agreement has been violated by them.,
110,,I have invited my friends to my party.,My friends have been invited to my party.,
111,,The robber shot the man dead.,The man was shot dead by the robber.,
112,,The boy told a story.,A story was told by the boy.,
113,,Clean the room.,Let the room be cleaned.,
114,,Clean the table.,Let this table be cleaned.,
115,,Do they speak English in this country?,Is English spoken in this country?,
116,,Will the government build a bridge?,Will a bridge be built by the government?,
117,,When will they announce the results?,When will the results be announced by them?,
118,,Will they complete the project this month?,Will the project be completed this month?,
119,,Somebody has stolen my purse.,My purse has been stolen.,
120,,They printed these books.,These books were printed by them.,
121,,Everyone hates him.,He is hated by everyone.,
122,,Who broke the glass?,By whom was the glass broken?,
123,,Why did he cheat you?,Why were you cheated by him?,
124,,The monkey was eating the mangoes.,The mangoes were being eaten by the monkey.,
125,,He broke the window.,The window was broken by him.,
126,,People have always admired this house.,This house has always been admired by people.,
127,,The children are decorating the Christmas tree.,The Christmas tree is being decorated by the children.,
128,,She has written two novels.,Two novels have been written by her.,
129,,The tiger killed the deer.,The deer was killed by the tiger.,
130,,The woodcutter cut down the trees.,The trees were cut down by the woodcutter.,
131,,Columbus discovered America.,America was discovered by Columbus.,
132,,The teacher praised the student.,The student was praised by the teacher.,
133,,The old woman feeds the pigeons every day.,The pigeons are fed by the old woman everyday.,
134,,John was flying a kite.,A kite was being flown by John.,
135,,My father will give me a present.,I will be given a present by my father.,
136,,The police caught the thief.,The thief was caught by the police.,
137,,I will conquer him.,He will be conquered by me.,
138,,He kept her waiting.,She was kept waiting (by him).,
139,,The hunter shot the lion.,The lion was shot by the hunter.,
140,,A little girl opened the door.,The door was opened by a little girl.,
141,,The boy threw the ball.,The ball was thrown by the boy.,
